Abigail,Abby,Abbie,Abie,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,"Mandy/ Mindy",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alison,Ali,Ally,Allie,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara,Barb,Barbie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly,Beverley,Bev,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,Lotte,Lottie,Char,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah,Deb,Debbie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy,Dot,Dotty,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,Liz,Lizzie,Liza,Libb,Lisbeth,Beth,Bessie,Bess,,,,,,,,,,,,,,,,,,,,,
Emily,Em,Emy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilary,Hil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,Jenny,Jen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathryn,Kate,Katie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret,Maggie,Meg,Maisie,,,,,,,,,,,,,,,,,,,,,,,,,,
Natasha,Tash,Tasha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicola,Nicky,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela,Pam,Pammy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patricia,Pat,Patty,Patsy,Trish,Trisha,,,,,,,,,,,,,,,,,,,,,,,,
Philippa,Pippa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,Rae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sally,Sal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,Sandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan,Suzie,Sue,Suze,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,Vicky,Vic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Ginny,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail,Nabby,Abby,Gail,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham,Abe,Bram,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaida,Ida,Idly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan,Al,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alastair,Al,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert,Al,Bert,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,Alex,Lex,Xander,Sander,Sandy,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra,Alex,Ali,Lexie,Sandy,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred,Al,Alf,Alfie,Fred,Fredo.,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo,Lonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloysius,Lou,Lewie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,Mandy,Mand,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,Andy,Drew,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus,Gus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne,Nan,Nancy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,Ant,Tony,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoinette,Toni,Netta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold,Arnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur,Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustine,Gus,Gussy,Gussie,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustus,Gus,Auggy,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara,Barb,Barbie,Babs,Bobbie,,,,,,,,,,,,,,,,,,,,,,,,,
Barnaby,Barney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry,Baz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartholomew,Bart,Barty,Barry,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil,Baz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Ben,Benji,Benny,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley,Bev,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnie,Bunnie,Benny,Boner,Bon,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley,Brad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridget,Biddy,Bridey,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin,Cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron,Cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candace,Candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn,Carol,Lyn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,Cassie,Cass,Sandra,Sandy,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Cat,Cath,"Cate (Kate)",Cathy,Cassie,Katie,,,,,,,,,,,,,,,,,,,,,,,
Cecilia,Cecie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles,Charlie,Charley,Chuck,Chas,Chaz,Chazza,Chic,Kori,Chip,,,,,,,,,,,,,,,,,,,,
Chester,Chet,Chesty,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine,Chris,Christy,Chrissy,Chrissie,Tina,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Chris,Topher,Kit,Chrissy,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement,Clem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford,Cliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,Clint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constance,Connie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis,Curt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynthia,Cindy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrus,Cy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Dan,Danny,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Dave,Davey,Davie,Div,Dav,,,,,,,,,,,,,,,,,,,,,,,,
Deborah,Deb,Debbie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolores,Dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic,Dom,Nick,Nicky,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominick,Dom,Nick,Nicky,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald,Don,Donny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy,Dot,Dottie,Doll,Dolly,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Doug,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
