Active,Active(anon),Active(file),AnonHugePages,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,DirectMap1G,DirectMap2M,DirectMap4k,Dirty,HardwareCorrupted,HugePages_Free,HugePages_Rsvd,HugePages_Surp,HugePages_Total,Hugepagesize,Inactive,Inactive(anon),Inactive(file),KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp,time
23870140,179416,23690724,0,527580,0,1136664,64750388,163302556,2754784,262144000,6107136,138176,416,0,0,0,0,0,2048,42525192,333768,42191424,6040,37936,193118900,264108356,31372,0,22036,2733044,136488,172,2869532,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111755.424523
23870948,180224,23690724,0,528184,0,1136664,64750388,163302556,2755588,262144000,6107136,138176,416,0,0,0,0,0,2048,42525192,333768,42191424,6040,37936,193118404,264108356,31372,0,22036,2733044,136488,172,2869532,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111755.43177
23995700,296148,23699552,0,644080,0,1136664,64750228,163302556,2881200,262144000,6107136,138176,464,0,0,0,0,0,2048,42516196,333768,42182428,6440,42548,193000628,264108356,31372,0,22536,2732996,136488,172,2869484,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111756.443732
24131792,419748,23712044,0,767888,0,1136664,64750224,163302556,3004612,262144000,6107136,138176,464,0,0,0,0,0,2048,42503700,333768,42169932,6440,42560,192877124,264108356,31372,0,22820,2732996,136488,172,2869484,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111757.455654
24273592,549288,23724304,0,897872,0,1136664,64750224,163302556,3134488,262144000,6107136,138176,540,0,0,0,0,0,2048,42491440,333768,42157672,6440,42560,192747128,264108356,31372,0,23092,2732996,136488,172,2869484,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111758.467622
24442824,707120,23735704,0,1051544,0,1136664,64750244,163302556,3337376,262144000,6107136,138176,560,0,0,0,0,0,2048,42480040,333768,42146272,6440,42560,192588036,264108356,31372,0,23344,2732996,136488,172,2869484,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111759.47964
24546036,796976,23749060,0,1144936,0,1136664,64750244,163302556,3381880,262144000,6107136,138176,1172,0,0,0,0,0,2048,42466684,333768,42132916,6440,42560,192499988,264108356,31372,0,23572,2732996,136488,172,2869484,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111760.491509
24679608,919880,23759728,0,1268280,0,1136664,64750244,163302556,3504976,262144000,6107136,138176,1864,0,0,0,0,0,2048,42456016,333768,42122248,6440,42560,192376856,264108356,31372,0,23828,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111761.503477
24764484,993876,23770608,0,1341920,0,1136664,64750244,163302556,3578708,262144000,6107136,138176,2152,0,0,0,0,0,2048,42445136,333768,42111368,6440,42560,192303056,264108356,31372,0,24020,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111762.515401
24826108,1045072,23781036,0,1392884,0,1136664,64750244,163302556,3630032,262144000,6107136,138176,1868,0,0,0,0,0,2048,42434728,333768,42100960,6440,42560,192251728,264108356,31372,0,24116,2733028,136488,172,2869516,14376,30411152,31248380,31372,34156673340,34359738367,692700,0,0,1430111763.527308
